2026-02-04 10:48:17.053 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"ca4fc376-50ea-4a4c-bbfc-5dbba2d759e2","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P7Q2NF9A:00000009","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P7Q2NF9A"}
2026-02-04 11:03:51.159 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CB:00000147","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CB"}
2026-02-04 11:11:20.836 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CC:0000003D","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CC"}
2026-02-04 11:11:24.899 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CC:0000005B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CC"}
2026-02-04 11:11:31.773 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CC:0000007F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CC"}
2026-02-04 11:11:33.457 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CC:0000008F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CC"}
2026-02-04 18:04:39.578 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CD:00000003","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CD"}
2026-02-04 18:04:54.609 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CD:00000027","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CD"}
2026-02-04 18:09:44.882 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CF:00000011","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CF"}
2026-02-04 18:10:05.761 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CF:0000003D","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CF"}
2026-02-04 23:01:03.963 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CH:00000019","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CH"}
2026-02-04 23:01:11.546 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CH:0000003B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CH"}
2026-02-04 23:22:29.911 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:00000003","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:24:12.782 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:0000003F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:24:24.473 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:00000055","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:24:30.352 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:0000006B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:24:36.598 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:00000081","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:24:48.630 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:00000097","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:25:12.527 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CN:000000AD","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CN"}
2026-02-04 23:32:11.118 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CO:00000019","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CO"}
2026-02-04 23:33:10.538 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CO:0000003B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CO"}
2026-02-04 23:33:50.333 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CO:00000063","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CO"}
2026-02-04 23:44:08.578 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:00000003","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:44:57.564 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:00000019","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:45:11.445 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:0000002F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:45:17.758 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:00000045","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:45:34.018 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:0000005B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:10.415 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:00000071","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:15.262 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:00000087","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:20.460 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:0000009D","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:23.919 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:000000B3","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:29.941 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:000000C9","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:40.602 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:000000DF","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:52.222 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:000000F5","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:46:54.011 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CP:0000010B","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CP"}
2026-02-04 23:50:09.841 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CQ:00000003","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CQ"}
2026-02-04 23:50:21.102 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CQ:00000019","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CQ"}
2026-02-04 23:50:36.387 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CQ:0000002F","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CQ"}
2026-02-04 23:50:41.783 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CQ:00000045","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CQ"}
2026-02-04 23:53:45.935 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CR:00000003","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CR"}
2026-02-04 23:55:05.731 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CR:0000004D","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CR"}
2026-02-04 23:55:07.894 +02:00 [INF] Getting all gifts {"SourceContext":"ChineseSale.Controllers.GiftController","ActionId":"e0d5a8cc-4fb8-4039-9288-80e262b36ccf","ActionName":"ChineseSale.Controllers.GiftController.GetAllGiftAsync (ChineseSale)","RequestId":"0HNJ3P8VTF7CR:00000063","RequestPath":"/api/Gift","ConnectionId":"0HNJ3P8VTF7CR"}
